texto,categoria,prioridade,setor
"Preciso de suporte porque integração do sistema com o envio de e-mails falhou. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Podem verificar, por favor?",E-mail,Média,Sistemas
Estamos com uma ocorrência em que sistema interno não carrega uma das telas. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,Software,Alta,Sistemas
Estamos com uma ocorrência em que equipamento apresenta falha após troca de componente. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Precisamos de orientação para resolver a situação.,Hardware,Média,Infraestrutura
Estamos com uma ocorrência em que VPN corporativa não estabelece conexão. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Rede,Crítica,Infraestrutura
Estamos com uma ocorrência em que aplicativo corporativo fecha sozinho ao executar uma tarefa. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Software,Crítica,Suporte N1
Estamos com uma ocorrência em que notebook apresenta falha ao reconhecer dispositivos USB. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Hardware,Baixa,Suporte N1
Estamos com uma ocorrência em que scanner multifuncional não aparece para o usuário. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Solicito análise da equipe responsável.,Impressora,Média,Suporte N1
Preciso de suporte porque equipamento apresenta falha após troca de componente. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Solicito análise da equipe responsável.,Hardware,Alta,Infraestrutura
Foi identificado que conta apresenta acessos que o usuário não reconhece. A atividade pode continuar por outro caminho e não há interrupção relevante. Precisamos de orientação para resolver a situação.,Acesso,Baixa,Segurança
Foi identificado que driver da impressora apresenta erro na estação. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Precisamos de orientação para resolver a situação.,Impressora,Alta,Suporte N1
"Foi identificado que driver da impressora apresenta erro na estação. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Impressora,Crítica,Suporte N1
"Preciso de suporte porque internet está instável em uma área do escritório. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Podem verificar, por favor?",Rede,Média,Infraestrutura
Foi identificado que programa instalado não abre para o usuário. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Software,Crítica,Suporte N1
"Foi identificado que computador corporativo está superaquecendo. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Podem verificar, por favor?",Hardware,Alta,Infraestrutura
"Preciso de suporte porque sistema interno não carrega uma das telas. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Software,Média,Sistemas
Estamos com uma ocorrência em que sistema interno não carrega uma das telas. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Software,Baixa,Sistemas
Preciso de suporte porque teclado parou de responder corretamente. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,Hardware,Baixa,Suporte N1
"Preciso de suporte porque houve tentativa de login em horário incomum. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Acesso,Baixa,Segurança
Foi identificado que sistema está retornando erro durante o processamento. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Precisamos de orientação para resolver a situação.,Software,Média,Sistemas
Preciso de suporte porque conexão Wi-Fi cai durante o expediente. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Rede,Baixa,Infraestrutura
Preciso de suporte porque integração do sistema com o envio de e-mails falhou. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,E-mail,Baixa,Sistemas
Estamos com uma ocorrência em que estação apresenta alertas de segurança recorrentes. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Precisamos de orientação para resolver a situação.,Segurança,Alta,Segurança
"Estamos com uma ocorrência em que programa instalado não abre para o usuário. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Software,Baixa,Suporte N1
Estamos com uma ocorrência em que impressão sai com configuração diferente da selecionada. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Impressora,Baixa,Suporte N1
"Preciso de suporte porque rede apresenta perda de conexão durante o trabalho. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",Rede,Média,Infraestrutura
Preciso de suporte porque programa instalado não abre para o usuário. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Software,Baixa,Suporte N1
Foi identificado que usuário recebeu mensagem suspeita solicitando credenciais. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,E-mail,Crítica,Segurança
Preciso de suporte porque computador não liga mesmo estando conectado à tomada. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,Hardware,Alta,Suporte N1
"Foi identificado que integração do sistema com o envio de e-mails falhou. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",E-mail,Baixa,Sistemas
Foi identificado que foi identificado possível e-mail de phishing na caixa corporativa. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,E-mail,Crítica,Segurança
Foi identificado que programa desconhecido apareceu instalado na máquina. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Software,Crítica,Segurança
"Estamos com uma ocorrência em que foi identificado possível e-mail de phishing na caixa corporativa. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",E-mail,Média,Segurança
Foi identificado que computador corporativo está superaquecendo. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Precisamos de orientação para resolver a situação.,Hardware,Média,Infraestrutura
Preciso de suporte porque mensagens estão sendo enviadas pela conta sem reconhecimento do usuário. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Precisamos de orientação para resolver a situação.,E-mail,Crítica,Segurança
"Preciso de suporte porque usuário recebeu alerta de acesso suspeito. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",Segurança,Alta,Segurança
"Preciso de suporte porque perfil não possui acesso a uma função do sistema. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Acesso,Baixa,Sistemas
"Preciso de suporte porque ERP apresenta erro ao salvar informações. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Podem verificar, por favor?",Software,Média,Sistemas
Estamos com uma ocorrência em que usuário recebeu uma solicitação de autenticação que não reconhece. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Solicito análise da equipe responsável.,Acesso,Crítica,Segurança
Preciso de suporte porque programa desconhecido apareceu instalado na máquina. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,Software,Alta,Segurança
Preciso de suporte porque aplicativo solicita permissões incomuns que não eram pedidas antes. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,Software,Baixa,Segurança
Foi identificado que VPN corporativa não estabelece conexão. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Rede,Crítica,Infraestrutura
Estamos com uma ocorrência em que usuário precisa de ajuda para selecionar a rede corporativa correta. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Solicito análise da equipe responsável.,Rede,Baixa,Suporte N1
Foi identificado que programa instalado não abre para o usuário. A atividade pode continuar por outro caminho e não há interrupção relevante. Precisamos de orientação para resolver a situação.,Software,Baixa,Suporte N1
Estamos com uma ocorrência em que perfil não possui acesso a uma função do sistema. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,Acesso,Alta,Sistemas
Preciso de suporte porque aplicação apresentou atividade incomum associada a um usuário. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,Segurança,Baixa,Sistemas
"Estamos com uma ocorrência em que conta apresenta acessos que o usuário não reconhece. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Podem verificar, por favor?",Acesso,Crítica,Segurança
"Estamos com uma ocorrência em que notebook apresenta falha ao reconhecer dispositivos USB. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",Hardware,Média,Suporte N1
Foi identificado que usuário recebeu alerta de acesso suspeito. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Segurança,Crítica,Segurança
"Preciso de suporte porque notebook corporativo apresenta comportamento físico incomum após manutenção. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Hardware,Baixa,Segurança
"Estamos com uma ocorrência em que usuário não consegue entrar na conta corporativa. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",Acesso,Média,Suporte N1
Preciso de suporte porque estação de trabalho reinicia sem aviso. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Hardware,Baixa,Infraestrutura
Foi identificado que permissão de acesso não foi aplicada corretamente no sistema. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Acesso,Crítica,Sistemas
Preciso de suporte porque Outlook não está sincronizando novas mensagens. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,E-mail,Alta,Suporte N1
"Foi identificado que usuário precisa de orientação após receber um alerta de segurança. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Podem verificar, por favor?",Segurança,Alta,Suporte N1
Estamos com uma ocorrência em que teclado parou de responder corretamente. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Solicito análise da equipe responsável.,Hardware,Baixa,Suporte N1
Foi identificado que conexão com o servidor está intermitente. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Precisamos de orientação para resolver a situação.,Rede,Alta,Infraestrutura
Preciso de suporte porque conta ficou bloqueada após tentativas de login. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,Acesso,Baixa,Suporte N1
"Preciso de suporte porque senha do usuário não está sendo aceita. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",Acesso,Média,Suporte N1
Foi identificado que estação de trabalho reinicia sem aviso. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Hardware,Crítica,Infraestrutura
"Preciso de suporte porque foi identificado tráfego de rede incomum em uma estação. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",Rede,Crítica,Segurança
"Preciso de suporte porque estação apresenta alertas de segurança recorrentes. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",Segurança,Alta,Segurança
Estamos com uma ocorrência em que internet está instável em uma área do escritório. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Solicito análise da equipe responsável.,Rede,Baixa,Infraestrutura
"Foi identificado que usuário recebeu alerta de acesso suspeito. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Segurança,Média,Segurança
"Estamos com uma ocorrência em que mensagens estão sendo enviadas pela conta sem reconhecimento do usuário. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",E-mail,Alta,Segurança
Preciso de suporte porque usuário recebeu uma solicitação de autenticação que não reconhece. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,Acesso,Baixa,Segurança
"Preciso de suporte porque foi identificado possível e-mail de phishing na caixa corporativa. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",E-mail,Baixa,Segurança
Foi identificado que monitor fica sem imagem durante o uso. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,Hardware,Alta,Suporte N1
"Estamos com uma ocorrência em que documentos ficam presos na fila de impressão. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Impressora,Baixa,Suporte N1
"Preciso de suporte porque acesso a recursos internos pela rede está falhando. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",Rede,Alta,Infraestrutura
Estamos com uma ocorrência em que computador corporativo está superaquecendo. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Hardware,Crítica,Infraestrutura
"Preciso de suporte porque equipamento apresenta falha após troca de componente. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Podem verificar, por favor?",Hardware,Média,Infraestrutura
"Foi identificado que Outlook não está sincronizando novas mensagens. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Podem verificar, por favor?",E-mail,Alta,Suporte N1
"Preciso de suporte porque equipamento não recebe conexão pela rede cabeada. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Rede,Média,Infraestrutura
Estamos com uma ocorrência em que conexão com o servidor está intermitente. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Precisamos de orientação para resolver a situação.,Rede,Média,Infraestrutura
Estamos com uma ocorrência em que perfil não possui acesso a uma função do sistema. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Acesso,Baixa,Sistemas
Foi identificado que sistema registrou alterações de dados sem identificação clara. A atividade pode continuar por outro caminho e não há interrupção relevante. Precisamos de orientação para resolver a situação.,Segurança,Baixa,Sistemas
Foi identificado que integração entre dois sistemas deixou de funcionar. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Precisamos de orientação para resolver a situação.,Software,Alta,Sistemas
Preciso de suporte porque rede apresenta perda de conexão durante o trabalho. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Rede,Baixa,Infraestrutura
"Preciso de suporte porque mensagens ficam presas na caixa de saída. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",E-mail,Média,Suporte N1
Preciso de suporte porque aplicativo solicita permissões incomuns que não eram pedidas antes. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Precisamos de orientação para resolver a situação.,Software,Crítica,Segurança
Preciso de suporte porque mensagens ficam presas na caixa de saída. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,E-mail,Alta,Suporte N1
"Preciso de suporte porque usuário não consegue enviar mensagens pelo e-mail corporativo. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",E-mail,Média,Suporte N1
Foi identificado que usuário precisa de ajuda para selecionar a rede corporativa correta. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Precisamos de orientação para resolver a situação.,Rede,Alta,Suporte N1
"Foi identificado que senha do usuário não está sendo aceita. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Acesso,Média,Suporte N1
Estamos com uma ocorrência em que usuário recebeu aviso de alteração de senha que não solicitou. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,Acesso,Alta,Segurança
"Preciso de suporte porque mensagens ficam presas na caixa de saída. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",E-mail,Crítica,Suporte N1
Preciso de suporte porque aplicação apresenta erro depois da última atualização. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Software,Baixa,Sistemas
Foi identificado que foram recebidos anexos inesperados de remetente desconhecido. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,E-mail,Alta,Segurança
Estamos com uma ocorrência em que navegador redireciona para páginas inesperadas. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Segurança,Crítica,Segurança
Foi identificado que sistema interno não carrega uma das telas. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Software,Crítica,Sistemas
Estamos com uma ocorrência em que computador não consegue acessar a rede corporativa. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Rede,Baixa,Infraestrutura
Foi identificado que integração do sistema com o envio de e-mails falhou. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Precisamos de orientação para resolver a situação.,E-mail,Alta,Sistemas
Preciso de suporte porque usuário recebeu alerta de acesso suspeito. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Solicito análise da equipe responsável.,Segurança,Crítica,Segurança
Estamos com uma ocorrência em que computador corporativo está superaquecendo. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,Hardware,Alta,Infraestrutura
"Foi identificado que usuário não consegue enviar mensagens pelo e-mail corporativo. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",E-mail,Média,Suporte N1
"Estamos com uma ocorrência em que usuário não consegue enviar mensagens pelo e-mail corporativo. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Podem verificar, por favor?",E-mail,Crítica,Suporte N1
"Foi identificado que equipamento foi encontrado com um dispositivo desconhecido conectado. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",Hardware,Baixa,Segurança
Preciso de suporte porque notebook corporativo apresenta comportamento físico incomum após manutenção. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,Hardware,Alta,Segurança
"Estamos com uma ocorrência em que permissão de acesso não foi aplicada corretamente no sistema. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Acesso,Baixa,Sistemas
Preciso de suporte porque disco do computador apresenta erros durante o uso. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Hardware,Baixa,Infraestrutura
Foi identificado que houve tentativa de login em horário incomum. A atividade pode continuar por outro caminho e não há interrupção relevante. Solicito análise da equipe responsável.,Acesso,Baixa,Segurança
"Preciso de suporte porque disco do computador apresenta erros durante o uso. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",Hardware,Média,Infraestrutura
Estamos com uma ocorrência em que credenciais parecem ter sido utilizadas em outro dispositivo. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Solicito análise da equipe responsável.,Acesso,Baixa,Segurança
Foi identificado que estação apresenta alertas de segurança recorrentes. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Segurança,Crítica,Segurança
"Preciso de suporte porque servidor registrou comportamento de rede fora do padrão. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Podem verificar, por favor?",Segurança,Média,Infraestrutura
"Preciso de suporte porque mensagens ficam presas na caixa de saída. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",E-mail,Baixa,Suporte N1
"Estamos com uma ocorrência em que mensagens ficam presas na caixa de saída. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",E-mail,Média,Suporte N1
Estamos com uma ocorrência em que disco do computador apresenta erros durante o uso. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Precisamos de orientação para resolver a situação.,Hardware,Alta,Infraestrutura
Estamos com uma ocorrência em que computador não liga mesmo estando conectado à tomada. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Hardware,Crítica,Suporte N1
"Foi identificado que integração do sistema com o envio de e-mails falhou. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",E-mail,Crítica,Sistemas
Foi identificado que notebook apresenta falha ao reconhecer dispositivos USB. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Hardware,Crítica,Suporte N1
Preciso de suporte porque notebook apresenta falha ao reconhecer dispositivos USB. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,Hardware,Alta,Suporte N1
Estamos com uma ocorrência em que sistema interno não carrega uma das telas. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Software,Crítica,Sistemas
"Estamos com uma ocorrência em que usuário recebeu alerta de acesso suspeito. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Segurança,Baixa,Segurança
Estamos com uma ocorrência em que driver da impressora apresenta erro na estação. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Precisamos de orientação para resolver a situação.,Impressora,Média,Suporte N1
Estamos com uma ocorrência em que sistema corporativo não consegue gerar o documento para impressão. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Precisamos de orientação para resolver a situação.,Impressora,Média,Sistemas
"Preciso de suporte porque serviço de impressão do servidor não processa os trabalhos enviados. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Impressora,Baixa,Sistemas
Estamos com uma ocorrência em que aplicação apresenta erro depois da última atualização. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Precisamos de orientação para resolver a situação.,Software,Alta,Sistemas
Estamos com uma ocorrência em que usuário recebeu mensagem suspeita solicitando credenciais. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,E-mail,Alta,Segurança
Foi identificado que impressão sai com configuração diferente da selecionada. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Impressora,Crítica,Suporte N1
"Foi identificado que aplicação apresenta erro depois da última atualização. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Software,Média,Sistemas
Foi identificado que impressora compartilhada não está disponível para alguns usuários. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Impressora,Crítica,Infraestrutura
"Foi identificado que mensagens estão sendo enviadas pela conta sem reconhecimento do usuário. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",E-mail,Baixa,Segurança
"Preciso de suporte porque conexão Wi-Fi cai durante o expediente. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",Rede,Média,Infraestrutura
Preciso de suporte porque senha do usuário não está sendo aceita. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Acesso,Baixa,Suporte N1
Preciso de suporte porque rede apresenta perda de conexão durante o trabalho. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Solicito análise da equipe responsável.,Rede,Crítica,Infraestrutura
"Estamos com uma ocorrência em que navegador redireciona para páginas inesperadas. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",Segurança,Média,Segurança
Foi identificado que monitor fica sem imagem durante o uso. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Hardware,Crítica,Suporte N1
"Preciso de suporte porque computador não liga mesmo estando conectado à tomada. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",Hardware,Crítica,Suporte N1
Foi identificado que foi identificado tráfego de rede incomum em uma estação. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Rede,Crítica,Segurança
"Estamos com uma ocorrência em que conexão Wi-Fi cai durante o expediente. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Rede,Baixa,Infraestrutura
Preciso de suporte porque conta ficou bloqueada após tentativas de login. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Solicito análise da equipe responsável.,Acesso,Alta,Suporte N1
"Preciso de suporte porque usuário não consegue imprimir na impressora do setor. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Podem verificar, por favor?",Impressora,Média,Suporte N1
"Foi identificado que scanner multifuncional não aparece para o usuário. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Impressora,Média,Suporte N1
"Estamos com uma ocorrência em que estação apresenta alertas de segurança recorrentes. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Segurança,Baixa,Segurança
"Foi identificado que houve tentativa de login em horário incomum. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Podem verificar, por favor?",Acesso,Alta,Segurança
Foi identificado que navegador redireciona para páginas inesperadas. A atividade pode continuar por outro caminho e não há interrupção relevante. Solicito análise da equipe responsável.,Segurança,Baixa,Segurança
"Foi identificado que usuário recebeu uma solicitação de autenticação que não reconhece. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",Acesso,Baixa,Segurança
Foi identificado que rede apresenta perda de conexão durante o trabalho. A atividade pode continuar por outro caminho e não há interrupção relevante. Precisamos de orientação para resolver a situação.,Rede,Baixa,Infraestrutura
"Estamos com uma ocorrência em que Outlook não está sincronizando novas mensagens. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",E-mail,Média,Suporte N1
"Preciso de suporte porque computador não liga mesmo estando conectado à tomada. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Hardware,Média,Suporte N1
"Preciso de suporte porque computador não consegue acessar a rede corporativa. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Rede,Média,Infraestrutura
Estamos com uma ocorrência em que monitor fica sem imagem durante o uso. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Precisamos de orientação para resolver a situação.,Hardware,Alta,Suporte N1
Estamos com uma ocorrência em que foi identificado tráfego de rede incomum em uma estação. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Rede,Baixa,Segurança
Foi identificado que aplicativo solicita permissões incomuns que não eram pedidas antes. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Solicito análise da equipe responsável.,Software,Média,Segurança
Estamos com uma ocorrência em que foi identificado possível e-mail de phishing na caixa corporativa. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,E-mail,Alta,Segurança
"Preciso de suporte porque antivírus identificou uma ameaça em um arquivo. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",Segurança,Crítica,Segurança
"Foi identificado que aplicação apresentou atividade incomum associada a um usuário. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",Segurança,Baixa,Sistemas
"Preciso de suporte porque Outlook não está sincronizando novas mensagens. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",E-mail,Crítica,Suporte N1
Preciso de suporte porque usuário precisa de ajuda para selecionar a rede corporativa correta. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,Rede,Baixa,Suporte N1
Preciso de suporte porque sistema corporativo não consegue gerar o documento para impressão. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Precisamos de orientação para resolver a situação.,Impressora,Crítica,Sistemas
Estamos com uma ocorrência em que sistema está retornando erro durante o processamento. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Software,Crítica,Sistemas
