texto,categoria,prioridade,setor,grupo
"Olá, o notebook não consegue se conectar à rede sem fio. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. Solicito análise.",Rede,Crítica,Infraestrutura,wifi
"Olá, o dispositivo de impressão ficou inacessível. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la.",Impressora,Baixa,Suporte N1,offline
A impressora não aparece disponível na estação. O impacto é pequeno neste momento e não existe urgência operacional. Agradeço se puderem verificar.,Impressora,Baixa,Suporte N1,offline
"Bom dia, A equipe está sem conseguir concluir uma operação necessária para o trabalho. O problema é que informações registradas em um sistema não chegam ao outro.",Software,Alta,Sistemas,integracao
"Olá, a conexão com a internet está oscilando. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Isso começou hoje.",Rede,Média,Infraestrutura,internet
"As páginas estão saindo com falhas na impressão. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Solicito análise.",Impressora,Média,Suporte N1,qualidade
"Bom dia, O problema está limitado a uma estação, mas interfere no trabalho diário. O problema é que a impressão apresenta manchas e trechos faltando. Podem me ajudar?",Impressora,Média,Suporte N1,qualidade
Não consigo manter uma conexão estável no escritório. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Solicito análise.,Rede,Média,Infraestrutura,wifi
"Bom dia, Grande parte da operação está parada e não existe alternativa disponível. O problema é que o notebook esquenta muito durante tarefas simples. Solicito análise.",Hardware,Crítica,Infraestrutura,temperatura
Preciso de ajuda: Há sessões na minha conta que eu não iniciei. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Solicito análise.,Segurança,Baixa,Segurança,acesso_suspeito
Estou com um problema: Um serviço essencial para a empresa ficou indisponível para muitos usuários. O problema é que o programa não funciona como antes após ser atualizado. Preciso de orientação.,Software,Crítica,Sistemas,atualizacao
"Podem verificar? O conteúdo impresso apresenta defeitos visíveis. O problema está limitado a uma estação, mas interfere no trabalho diário. Preciso de orientação.",Impressora,Média,Suporte N1,qualidade
"O acesso falha na etapa de autenticação. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Agradeço se puderem verificar.",Acesso,Média,Suporte N1,login
Tenho uma ocorrência em que Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. O problema é que não conseguimos localizar a impressora compartilhada. Conseguem verificar?,Impressora,Alta,Infraestrutura,rede_impressao
Estou com um problema: Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. O problema é que a caixa corporativa demora para atualizar. Podem me ajudar?,E-mail,Crítica,Suporte N1,sincronizacao
"Pessoal, algumas mensagens esperadas não estão chegando. Grande parte da operação está parada e não existe alternativa disponível. Podem me ajudar?",E-mail,Crítica,Suporte N1,recebimento
"Bom dia, O problema afeta diversos usuários e precisa ser tratado com rapidez. O problema é que a caixa de e-mail não abre corretamente. Isso começou hoje.",E-mail,Alta,Suporte N1,caixa
"Bom dia, Existe uma alternativa funcionando, então a solicitação pode aguardar. O problema é que o equipamento desliga sozinho pouco depois de iniciar. Conseguem verificar?",Hardware,Baixa,Suporte N1,energia
As mensagens novas não aparecem no aplicativo de e-mail. Diversos usuários foram impactados e não há uma solução prática para o setor. Solicito análise.,E-mail,Alta,Suporte N1,sincronizacao
"Tenho uma ocorrência em que O problema está limitado a uma estação, mas interfere no trabalho diário. O problema é que a estação liga, mas não exibe vídeo. Agradeço se puderem verificar.",Hardware,Média,Suporte N1,video
Podem verificar? O teclado parou de responder em algumas teclas. O problema afeta diversos usuários e precisa ser tratado com rapidez. Solicito análise.,Hardware,Alta,Suporte N1,perifericos
"Identificamos que a ferramenta corporativa fecha ao gerar um relatório. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Isso começou hoje.",Software,Média,Suporte N1,aplicativo_fechando
Identificamos que o encaminhamento automático parou de funcionar. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço.,E-mail,Crítica,Sistemas,regras
Identificamos que o teclado parou de responder em algumas teclas. Diversos usuários foram impactados e não há uma solução prática para o setor.,Hardware,Alta,Suporte N1,perifericos
Preciso de ajuda: O computador não alcança um servidor interno. A ocorrência já compromete o trabalho de uma equipe inteira.,Rede,Alta,Infraestrutura,recursos_rede
"Podem verificar? O mouse falha durante o uso. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Preciso de orientação.",Hardware,Média,Suporte N1,perifericos
Podem verificar? O ponto de rede da mesa não está funcionando. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Conseguem verificar?,Rede,Média,Infraestrutura,cabeada
Estou com um problema: O impacto é pequeno neste momento e não existe urgência operacional. O problema é que a conexão fica indo e voltando durante o expediente. Conseguem verificar?,Rede,Baixa,Infraestrutura,wifi
Podem verificar? O equipamento não consegue acessar recursos usando o cabo. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. Solicito análise.,Rede,Crítica,Infraestrutura,cabeada
"Bom dia, Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. O problema é que sites externos deixam de abrir por alguns minutos. Conseguem verificar?",Rede,Alta,Infraestrutura,internet
"Olá, consigo receber, mas não consigo enviar mensagens. Existe uma alternativa funcionando, então a solicitação pode aguardar. Agradeço se puderem verificar.",E-mail,Baixa,Suporte N1,envio
"Podem verificar? Consigo receber, mas não consigo enviar mensagens. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade.",E-mail,Crítica,Suporte N1,envio
Identificamos que a digitalização falha antes de salvar o arquivo. O problema afeta diversos usuários e precisa ser tratado com rapidez. Solicito análise.,Impressora,Alta,Suporte N1,scanner
"Consigo entrar no sistema, mas uma função não aparece para mim. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Isso começou hoje.",Acesso,Média,Sistemas,permissao
Estou com um problema: A ocorrência já compromete o trabalho de uma equipe inteira. O problema é que novos e-mails não aparecem automaticamente.,E-mail,Alta,Suporte N1,sincronizacao
Podem verificar? A webcam não é detectada pelo computador. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la.,Hardware,Baixa,Suporte N1,perifericos
"Olá, uma atualização deixou a aplicação instável. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Agradeço se puderem verificar.",Software,Média,Sistemas,atualizacao
Tenho uma ocorrência em que Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que há atividades na estação que não correspondem ao uso normal. Conseguem verificar?,Segurança,Média,Segurança,comportamento_suspeito
Identificamos que houve uma mudança inesperada em dados corporativos. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Solicito análise.,Segurança,Média,Segurança,alteracao_nao_autorizada
Preciso de ajuda: O acesso foi bloqueado e preciso voltar a trabalhar. Diversos usuários foram impactados e não há uma solução prática para o setor. Podem me ajudar?,Acesso,Alta,Suporte N1,bloqueio
"Olá, não consigo enviar documentos porque o dispositivo está offline. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Preciso de orientação.",Impressora,Média,Suporte N1,offline
Podem verificar? Recebi confirmação de acesso que não fui eu quem realizou. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Solicito análise.,Segurança,Média,Segurança,acesso_suspeito
"Bom dia, O problema afeta diversos usuários e precisa ser tratado com rapidez. O problema é que a porta de rede parece não estabelecer comunicação. Podem me ajudar?",Rede,Alta,Infraestrutura,cabeada
"Olá, o sistema interno apresenta erro durante o cadastro. O problema está limitado a uma estação, mas interfere no trabalho diário. Conseguem verificar?",Software,Média,Sistemas,erp
A estação não obtém conexão pelo cabo de rede. A ocorrência interrompeu uma operação essencial em larga escala. Isso começou hoje.,Rede,Crítica,Infraestrutura,cabeada
Estou com um problema: A equipe está sem conseguir concluir uma operação necessária para o trabalho. O problema é que o serviço de e-mail falha quando tento enviar. Preciso de orientação.,E-mail,Alta,Suporte N1,envio
Identificamos que o acesso falha na etapa de autenticação. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la.,Acesso,Baixa,Suporte N1,login
"Pessoal, informações apareceram alteradas e ninguém da equipe realizou a mudança. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Preciso de orientação.",Segurança,Baixa,Sistemas,alteracao_nao_autorizada
"Bom dia, Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que a sessão remota com a rede corporativa fica instável. Conseguem verificar?",Rede,Média,Infraestrutura,vpn
A credencial atual não está sendo reconhecida. O impacto é pequeno neste momento e não existe urgência operacional. Podem me ajudar?,Acesso,Baixa,Suporte N1,senha
"Preciso de ajuda: O scanner não é reconhecido pela estação. O problema está limitado a uma estação, mas interfere no trabalho diário.",Impressora,Média,Suporte N1,scanner
Estou com um problema: Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. O problema é que a conexão sem fio cai várias vezes. Solicito análise.,Rede,Média,Infraestrutura,wifi
Tenho uma ocorrência em que A equipe está sem conseguir concluir uma operação necessária para o trabalho. O problema é que não consigo enviar o documento digitalizado para o computador. Isso começou hoje.,Impressora,Alta,Suporte N1,scanner
Tenho uma ocorrência em que O problema afeta diversos usuários e precisa ser tratado com rapidez. O problema é que minha senha deixou de ser aceita. Preciso de orientação.,Acesso,Alta,Suporte N1,senha
Identificamos que as mensagens novas não aparecem no aplicativo de e-mail. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Isso começou hoje.,E-mail,Média,Suporte N1,sincronizacao
"Bom dia, Não há atividade parada; preciso apenas que seja verificado quando possível. O problema é que há sessões na minha conta que eu não iniciei. Podem me ajudar?",Segurança,Baixa,Segurança,acesso_suspeito
Foi detectado conteúdo potencialmente perigoso na estação. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Preciso de orientação.,Segurança,Crítica,Segurança,malware
"Olá, a estação fica muito quente e perde desempenho. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Solicito análise.",Hardware,Média,Infraestrutura,temperatura
Podem verificar? A estação fica muito quente e perde desempenho. Muitos usuários estão impedidos de executar atividades críticas da empresa. Isso começou hoje.,Hardware,Crítica,Infraestrutura,temperatura
"Olá, o acesso à internet parou em parte do ambiente. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Solicito análise.",Rede,Média,Infraestrutura,internet
Identificamos que uma aplicação desconhecida começou a executar sozinha. Um serviço essencial para a empresa ficou indisponível para muitos usuários.,Segurança,Crítica,Segurança,malware
Podem verificar? O equipamento multifuncional não conclui o escaneamento. O usuário perdeu produtividade e precisa de suporte para continuar a atividade.,Impressora,Média,Suporte N1,scanner
Tenho uma ocorrência em que Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que há falhas frequentes ao salvar arquivos na máquina. Solicito análise.,Hardware,Média,Infraestrutura,armazenamento
"Preciso de ajuda: Os dados não estão sincronizando entre as aplicações. O problema está limitado a uma estação, mas interfere no trabalho diário.",Software,Média,Sistemas,integracao
Preciso de ajuda: Não consigo entrar na minha conta corporativa. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Agradeço se puderem verificar.,Acesso,Baixa,Suporte N1,login
Podem verificar? O programa deixa de responder depois de alguns minutos. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Preciso de orientação.,Software,Média,Suporte N1,aplicativo_fechando
Identificamos que o computador apresenta erros ao abrir arquivos locais. O problema afeta diversos usuários e precisa ser tratado com rapidez. Preciso de orientação.,Hardware,Alta,Infraestrutura,armazenamento
"Olá, os dados não estão sincronizando entre as aplicações. É um incômodo pontual e o trabalho continua normalmente. Podem me ajudar?",Software,Baixa,Sistemas,integracao
O equipamento de impressão aparece indisponível. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Podem me ajudar?,Impressora,Média,Suporte N1,offline
"Pessoal, a conexão segura com a rede corporativa não completa. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Solicito análise.",Rede,Crítica,Infraestrutura,vpn
"Pessoal, o resultado impresso está diferente do arquivo original. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Agradeço se puderem verificar.",Impressora,Média,Suporte N1,qualidade
"Podem verificar? O sistema corporativo não conclui o lançamento. O problema está limitado a uma estação, mas interfere no trabalho diário.",Software,Média,Sistemas,erp
"Pessoal, o notebook esquenta muito durante tarefas simples. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Solicito análise.",Hardware,Baixa,Infraestrutura,temperatura
O sistema corporativo não conclui o lançamento. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Conseguem verificar?,Software,Alta,Sistemas,erp
O acesso remoto apresenta erro de conexão. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Isso começou hoje.,Rede,Média,Infraestrutura,vpn
O equipamento desliga sozinho pouco depois de iniciar. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. Conseguem verificar?,Hardware,Crítica,Suporte N1,energia
A verificação em duas etapas não conclui. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la.,Acesso,Baixa,Suporte N1,mfa
Preciso de ajuda: O equipamento passou a apresentar comportamento incomum. Muitos usuários estão impedidos de executar atividades críticas da empresa. Podem me ajudar?,Segurança,Crítica,Segurança,comportamento_suspeito
"Olá, as mensagens enviadas para mim não aparecem. O problema está limitado a uma estação, mas interfere no trabalho diário. Solicito análise.",E-mail,Média,Suporte N1,recebimento
"Estou com um problema: Existe uma alternativa funcionando, então a solicitação pode aguardar. O problema é que a caixa de entrada parou de atualizar. Isso começou hoje.",E-mail,Baixa,Suporte N1,sincronizacao
"Preciso de ajuda: Recebi um link inesperado pedindo autenticação corporativa. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Isso começou hoje.",Segurança,Média,Segurança,phishing
Identificamos que a integração não está enviando os dados esperados. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Preciso de orientação.,Software,Média,Sistemas,integracao
Podem verificar? A etapa adicional de autenticação está falhando. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Podem me ajudar?,Acesso,Alta,Suporte N1,mfa
Podem verificar? O programa não funciona como antes após ser atualizado. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. Agradeço se puderem verificar.,Software,Crítica,Sistemas,atualizacao
"Pessoal, uma regra da caixa está tratando mensagens de forma errada. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Solicito análise.",E-mail,Média,Sistemas,regras
O equipamento apresenta aquecimento fora do normal. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Conseguem verificar?,Hardware,Média,Infraestrutura,temperatura
Identificamos que a conexão segura com a rede corporativa não completa. O impacto é pequeno neste momento e não existe urgência operacional.,Rede,Baixa,Infraestrutura,vpn
Preciso de ajuda: A aplicação para de responder ao salvar informações. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Isso começou hoje.,Software,Crítica,Suporte N1,aplicativo_fechando
Tenho uma ocorrência em que A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que o programa corporativo não funciona após ser configurado. Solicito análise.,Software,Crítica,Sistemas,instalacao
Não conseguimos localizar a impressora compartilhada. Uma função importante para o setor ficou indisponível para várias pessoas. Isso começou hoje.,Impressora,Alta,Infraestrutura,rede_impressao
Estou com um problema: É um incômodo pontual e o trabalho continua normalmente. O problema é que o computador conectado por cabo ficou sem acesso. Isso começou hoje.,Rede,Baixa,Infraestrutura,cabeada
Identificamos que o sistema apresenta erro desde a última versão instalada. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Isso começou hoje.,Software,Baixa,Sistemas,atualizacao
"Preciso de ajuda: A máquina acessa a internet mas não os recursos internos. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Isso começou hoje.",Rede,Média,Infraestrutura,recursos_rede
Estou com um problema: Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. O problema é que o equipamento compartilhado não recebe trabalhos pela rede. Podem me ajudar?,Impressora,Média,Infraestrutura,rede_impressao
"Há atividades na estação que não correspondem ao uso normal. O problema está limitado a uma estação, mas interfere no trabalho diário. Isso começou hoje.",Segurança,Média,Segurança,comportamento_suspeito
"Pessoal, o equipamento multifuncional não conclui o escaneamento. Existe uma alternativa funcionando, então a solicitação pode aguardar. Podem me ajudar?",Impressora,Baixa,Suporte N1,scanner
"Bom dia, A ocorrência interrompeu uma operação essencial em larga escala. O problema é que mandei imprimir, mas o documento ficou parado na fila. Solicito análise.",Impressora,Crítica,Suporte N1,fila
As folhas saem com qualidade muito ruim. Muitos usuários estão impedidos de executar atividades críticas da empresa. Agradeço se puderem verificar.,Impressora,Crítica,Suporte N1,qualidade
Estou com um problema: A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que uma mensagem afirma que minha conta será bloqueada se eu não informar credenciais. Isso começou hoje.,Segurança,Crítica,Segurança,phishing
"Consigo receber, mas não consigo enviar mensagens. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Preciso de orientação.",E-mail,Baixa,Suporte N1,envio
"Bom dia, Grande parte da operação está parada e não existe alternativa disponível. O problema é que não consigo estabelecer a conexão remota com a empresa.",Rede,Crítica,Infraestrutura,vpn
Estou com um problema: Grande parte da operação está parada e não existe alternativa disponível. O problema é que o acesso à internet parou em parte do ambiente. Conseguem verificar?,Rede,Crítica,Infraestrutura,internet
"Podem verificar? Mandei imprimir, mas o documento ficou parado na fila. Não há atividade parada; preciso apenas que seja verificado quando possível. Preciso de orientação.",Impressora,Baixa,Suporte N1,fila
Estou com um problema: Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. O problema é que não consigo chegar aos recursos internos trabalhando de casa. Isso começou hoje.,Rede,Crítica,Infraestrutura,vpn
Identificamos que os e-mails não estão sendo movidos para a pasta configurada. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. Podem me ajudar?,E-mail,Crítica,Sistemas,regras
Identificamos que o sistema pede troca de senha mas o processo falha. Não há atividade parada; preciso apenas que seja verificado quando possível. Solicito análise.,Acesso,Baixa,Suporte N1,senha
"A porta de rede parece não estabelecer comunicação. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Conseguem verificar?",Rede,Média,Infraestrutura,cabeada
"Pessoal, a impressora não aparece disponível na estação. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Solicito análise.",Impressora,Alta,Suporte N1,offline
"Bom dia, É um incômodo pontual e o trabalho continua normalmente. O problema é que o serviço de e-mail falha quando tento enviar. Podem me ajudar?",E-mail,Baixa,Suporte N1,envio
"Olá, a verificação em duas etapas não conclui. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Preciso de orientação.",Acesso,Média,Suporte N1,mfa
"Pessoal, houve uma mudança inesperada em dados corporativos. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Conseguem verificar?",Segurança,Baixa,Sistemas,alteracao_nao_autorizada
"Pessoal, não consigo estabelecer a conexão remota com a empresa. Consigo continuar por outro caminho e isso não bloqueia minha rotina.",Rede,Baixa,Infraestrutura,vpn
"Estou com um problema: Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. O problema é que uma regra da caixa está tratando mensagens de forma errada.",E-mail,Média,Sistemas,regras
"Preciso de ajuda: O serviço abre, mas não mostra o conteúdo das mensagens. Existe uma alternativa funcionando, então a solicitação pode aguardar. Solicito análise.",E-mail,Baixa,Suporte N1,caixa
Preciso de ajuda: Os trabalhos de impressão não saem da lista. Muitos usuários estão impedidos de executar atividades críticas da empresa. Agradeço se puderem verificar.,Impressora,Crítica,Suporte N1,fila
"Olá, a ferramenta corporativa fecha ao gerar um relatório. Uma função importante para o setor ficou indisponível para várias pessoas.",Software,Alta,Suporte N1,aplicativo_fechando
"Olá, as páginas estão saindo com falhas na impressão. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência.",Impressora,Média,Suporte N1,qualidade
"Olá, minha conta registra acesso em um horário em que eu não estava trabalhando. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la.",Segurança,Baixa,Segurança,acesso_suspeito
Podem verificar? O encaminhamento automático parou de funcionar. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Solicito análise.,E-mail,Alta,Sistemas,regras
Meu perfil não possui acesso a uma área necessária. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Solicito análise.,Acesso,Média,Sistemas,permissao
"Pessoal, o computador faz ruído forte de ventilação e aquece. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Isso começou hoje.",Hardware,Alta,Infraestrutura,temperatura
Estou com um problema: É um incômodo pontual e o trabalho continua normalmente. O problema é que a autenticação não conclui quando tento acessar. Preciso de orientação.,Acesso,Baixa,Suporte N1,login
Preciso de ajuda: O equipamento compartilhado não aparece para alguns usuários. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Isso começou hoje.,Impressora,Média,Infraestrutura,rede_impressao
"Podem verificar? Houve uma mudança inesperada em dados corporativos. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Podem me ajudar?",Segurança,Média,Segurança,alteracao_nao_autorizada
"Pessoal, a caixa parece não receber novas mensagens. Diversos usuários foram impactados e não há uma solução prática para o setor. Isso começou hoje.",E-mail,Alta,Suporte N1,recebimento
Identificamos que apareceu uma autenticação de um dispositivo desconhecido. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. Preciso de orientação.,Segurança,Crítica,Segurança,acesso_suspeito
Estou com um problema: A equipe está sem conseguir concluir uma operação necessária para o trabalho. O problema é que os arquivos enviados para impressão não avançam. Podem me ajudar?,Impressora,Alta,Suporte N1,fila
Podem verificar? O ventilador do computador trabalha no máximo o tempo todo. É um incômodo pontual e o trabalho continua normalmente. Podem me ajudar?,Hardware,Baixa,Infraestrutura,temperatura
"Olá, a impressão fica pendente indefinidamente. Existe uma alternativa funcionando, então a solicitação pode aguardar. Solicito análise.",Impressora,Baixa,Suporte N1,fila
Podem verificar? O documento impresso fica com partes ilegíveis. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade.,Impressora,Crítica,Suporte N1,qualidade
Estou com um problema: A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que não consigo manter uma conexão estável no escritório. Isso começou hoje.,Rede,Crítica,Infraestrutura,wifi
"Pessoal, o equipamento desliga sozinho pouco depois de iniciar. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Podem me ajudar?",Hardware,Média,Suporte N1,energia
"Olá, a caixa de entrada parou de atualizar. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Agradeço se puderem verificar.",E-mail,Alta,Suporte N1,sincronizacao
Surgiram janelas e processos que o usuário não reconhece. O problema afeta diversos usuários e precisa ser tratado com rapidez.,Segurança,Alta,Segurança,comportamento_suspeito
"Tenho uma ocorrência em que Existe uma alternativa funcionando, então a solicitação pode aguardar. O problema é que a conexão física da estação não disponibiliza a rede. Isso começou hoje.",Rede,Baixa,Infraestrutura,cabeada
"Pessoal, tenho acesso ao sistema, mas não ao recurso que preciso. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Isso começou hoje.",Acesso,Média,Sistemas,permissao
Identificamos que o resultado impresso está diferente do arquivo original. Grande parte da operação está parada e não existe alternativa disponível. Podem me ajudar?,Impressora,Crítica,Suporte N1,qualidade
"O sistema apresenta erro desde a última versão instalada. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Solicito análise.",Software,Média,Sistemas,atualizacao
"Bom dia, É um incômodo pontual e o trabalho continua normalmente. O problema é que o usuário ficou impedido de iniciar sessão. Preciso de orientação.",Acesso,Baixa,Suporte N1,bloqueio
"Identificamos que depois da atualização algumas funções deixaram de funcionar. O problema está limitado a uma estação, mas interfere no trabalho diário. Agradeço se puderem verificar.",Software,Média,Sistemas,atualizacao
"Pessoal, uma funcionalidade está indisponível apenas para meu usuário. Diversos usuários foram impactados e não há uma solução prática para o setor.",Acesso,Alta,Sistemas,permissao
Preciso de ajuda: Não consigo digitalizar documentos no equipamento. O problema afeta diversos usuários e precisa ser tratado com rapidez. Conseguem verificar?,Impressora,Alta,Suporte N1,scanner
Estou com um problema: O usuário perdeu produtividade e precisa de suporte para continuar a atividade. O problema é que o computador passou a abrir programas que não reconheço. Agradeço se puderem verificar.,Segurança,Média,Segurança,malware
Tenho uma ocorrência em que Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. O problema é que as folhas saem com qualidade muito ruim. Preciso de orientação.,Impressora,Crítica,Suporte N1,qualidade
Estou com um problema: Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que foi detectado conteúdo potencialmente perigoso na estação. Isso começou hoje.,Segurança,Média,Segurança,malware
Podem verificar? O erp retorna erro ao registrar uma operação. O problema afeta diversos usuários e precisa ser tratado com rapidez. Conseguem verificar?,Software,Alta,Sistemas,erp
"Olá, a autenticação não conclui quando tento acessar. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Solicito análise.",Acesso,Alta,Suporte N1,login
Tenho uma ocorrência em que Muitos usuários estão impedidos de executar atividades críticas da empresa. O problema é que o dispositivo de impressão ficou inacessível.,Impressora,Crítica,Suporte N1,offline
O acesso remoto cai poucos minutos depois de conectar. Uma função importante para o setor ficou indisponível para várias pessoas.,Rede,Alta,Infraestrutura,vpn
Tenho uma ocorrência em que O usuário perdeu produtividade e precisa de suporte para continuar a atividade. O problema é que não consigo mandar e-mails para outros usuários. Preciso de orientação.,E-mail,Média,Suporte N1,envio
Tenho uma ocorrência em que A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que várias estações perderam acesso ao dispositivo de impressão. Solicito análise.,Impressora,Crítica,Infraestrutura,rede_impressao
Tenho uma ocorrência em que Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. O problema é que a porta de rede parece não estabelecer comunicação. Agradeço se puderem verificar.,Rede,Média,Infraestrutura,cabeada
"Olá, o computador faz ruído forte de ventilação e aquece. É um incômodo pontual e o trabalho continua normalmente. Preciso de orientação.",Hardware,Baixa,Infraestrutura,temperatura
"Olá, a conexão segura com a rede corporativa não completa. A ocorrência já compromete o trabalho de uma equipe inteira. Conseguem verificar?",Rede,Alta,Infraestrutura,vpn
Não consigo enviar o documento digitalizado para o computador. A ocorrência já compromete o trabalho de uma equipe inteira. Podem me ajudar?,Impressora,Alta,Suporte N1,scanner
Tenho uma ocorrência em que O problema afeta diversos usuários e precisa ser tratado com rapidez. O problema é que o notebook esquenta muito durante tarefas simples. Conseguem verificar?,Hardware,Alta,Infraestrutura,temperatura
Preciso de ajuda: Não consigo enviar documentos porque o dispositivo está offline. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Conseguem verificar?,Impressora,Alta,Suporte N1,offline
Podem verificar? Dados do sistema mudaram sem uma solicitação conhecida. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Solicito análise.,Segurança,Alta,Segurança,alteracao_nao_autorizada
"Pessoal, a impressora da rede deixou de responder. A rotina individual está comprometida, porém o restante da equipe segue trabalhando.",Impressora,Média,Infraestrutura,rede_impressao
"Podem verificar? O computador só liga depois de várias tentativas. Existe uma alternativa funcionando, então a solicitação pode aguardar. Solicito análise.",Hardware,Baixa,Suporte N1,energia
Podem verificar? O histórico mostra entrada que não reconheço. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Isso começou hoje.,Segurança,Média,Segurança,acesso_suspeito
Estou com um problema: O impacto é pequeno neste momento e não existe urgência operacional. O problema é que o dispositivo de impressão perdeu comunicação com as estações. Agradeço se puderem verificar.,Impressora,Baixa,Suporte N1,rede_impressao
Preciso de ajuda: A estação informa que o equipamento não está conectado. É um incômodo pontual e o trabalho continua normalmente. Isso começou hoje.,Impressora,Baixa,Suporte N1,offline
"Podem verificar? Consigo entrar no sistema, mas uma função não aparece para mim. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Preciso de orientação.",Acesso,Baixa,Sistemas,permissao
Preciso de ajuda: O programa não funciona como antes após ser atualizado. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Solicito análise.,Software,Alta,Sistemas,atualizacao
